STT,year,location_code,Tong_Import,Tong_Export,Balance
281,1963,SPM,291126,1045,-290081
282,1963,SUR,44414512,45888702,1474190
283,1963,SWE,3126637630,3031065676,-95571954
284,1963,SYC,378305,0,-378305
285,1963,SYR,153909245,199463108,45553863
286,1963,TCD,20409538,19769100,-640438
287,1963,TGO,27240053,24304145,-2935908
288,1963,THA,552700349,397293732,-155406617
289,1963,TLS,18610020,50526398,31916378
290,1963,TTO,293119377,273812410,-19306967
291,1963,TUN,212450353,199368121,-13082232
292,1963,TUR,665319409,386443889,-278875520
293,1963,TWN,366700157,367311471,611314
294,1963,UGA,26272731,49428198,23155467
295,1963,URY,159192315,164970331,5778016
296,1963,USA,16237780614,21416963050,5179182436
297,1963,VEN,924808627,2656448961,1731640334
298,1963,VIR,5500,10206,4706
299,1963,VNM,307231683,85012483,-222219200
300,1963,VUT,26356477,33940130,7583653
301,1963,WSM,3052173,1993624,-1058549
302,1963,YEM,19275186,3461105,-15814081
303,1963,ZAF,1603644232,1200026657,-403617575
304,1964,AGO,141607342,209634170,68026828
305,1964,ALB,14631116,3867655,-10763461
306,1964,AND,0,3323,3323
307,1964,ANT,626253467,651159338,24905871
308,1964,ARE,966046,0,-966046
309,1964,ARG,1073229117,1604424994,531195877
310,1964,ATG,11595,0,-11595
311,1964,AUS,2697798849,2980977170,283178321
312,1964,AUT,1785854856,1306588832,-479266024
313,1964,BDI,13215430,29750429,16534999
314,1964,BEL,6004832166,5908101812,-96730354
315,1964,BEN,34836069,16786168,-18049901
316,1964,BFA,27084830,15082512,-12002318
317,1964,BGR,206785282,128059842,-78725440
318,1964,BHR,68007387,130361861,62354474
319,1964,BHS,143411697,25433526,-117978171
320,1964,BLZ,0,34595,34595
321,1964,BMU,83372425,28310329,-55062096
322,1964,BOL,91555809,89540491,-2015318
323,1964,BRA,1115231162,1540262109,425030947
324,1964,BRB,40058262,31665168,-8393094
325,1964,BRN,24278176,67299472,43021296
326,1964,CAF,24804487,29934558,5130071
327,1964,CAN,6818250494,7558413246,740162752
328,1964,CHE,3737298300,2604230985,-1133067315
329,1964,CHL,540875523,691793348,150917825
330,1964,CHN,847777287,1052392256,204614969
331,1964,CIV,229089127,335263793,106174666
332,1964,CMR,122427080,171569131,49142051
333,1964,COD,220341755,388071576,167729821
334,1964,COG,65758156,37491521,-28266635
335,1964,COK,1100,0,-1100
336,1964,COL,530748259,551882292,21134033
337,1964,COM,4186640,2022485,-2164155
338,1964,CPV,411099,0,-411099
339,1964,CRI,119682056,104980690,-14701366
340,1964,CUB,261560682,261230039,-330643
341,1964,CYP,82495875,57052240,-25443635
342,1964,DEU,14401689875,16981760224,2580070349
343,1964,DJI,26367940,1255878,-25112062
344,1964,DMA,381498,0,-381498
345,1964,DNK,2452541598,2045235821,-407305777
346,1964,DOM,197879007,186581859,-11297148
347,1964,DZA,668327587,761836985,93509398
348,1964,ECU,171245996,208382605,37136609
349,1964,EGY,684055672,275923561,-408132111
350,1964,ESP,2233590838,1128431389,-1105159449
351,1964,ETH,101707512,89433650,-12273862
352,1964,FIN,1170774313,1192525064,21750751
353,1964,FJI,49321875,40617471,-8704404
354,1964,FRA,9770549264,8756416540,-1014132724
355,1964,GAB,45167285,107460781,62293496
356,1964,GBR,13790390072,12079056831,-1711333241
357,1964,GHA,289680200,300015806,10335606
358,1964,GIB,8034272,14720,-8019552
359,1964,GIN,33599917,46226781,12626864
360,1964,GMB,11814680,11135069,-679611
361,1964,GNB,19179964,15419778,-3760186
362,1964,GNQ,9228045,4073171,-5154874
363,1964,GRC,899694074,281773708,-617920366
364,1964,GRL,1801999,0,-1801999
365,1964,GTM,180742494,182245024,1502530
366,1964,GUY,61336089,91694159,30358070
367,1964,HKG,1558666139,1046982679,-511683460
368,1964,HND,97313839,97394374,80535
369,1964,HTI,37155002,46627069,9472067
370,1964,HUN,357462161,316362068,-41100093
371,1964,IDN,489529941,726828667,237298726
372,1964,IND,2429833388,1488106023,-941727365
373,1964,IRL,888202453,629018277,-259184176
374,1964,IRN,636273717,1370541386,734267669
375,1964,IRQ,283142572,886442328,603299756
376,1964,ISL,107182505,100318536,-6863969
377,1964,ISR,731993791,359779128,-372214663
378,1964,ITA,6659084316,5529236785,-1129847531
379,1964,JAM,232935680,255780810,22845130
380,1964,JOR,133299269,23921666,-109377603
381,1964,JPN,6933019324,6142470657,-790548667
382,1964,KEN,240724744,186167814,-54556930
383,1964,KHM,65196563,92908040,27711477
384,1964,KOR,389347217,115451344,-273895873
385,1964,KWT,254533183,1617607268,1363074085
386,1964,LAO,27276708,2498490,-24778218
387,1964,LBN,363644856,143946299,-219698557
388,1964,LBR,399982422,170661667,-229320755
389,1964,LBY,282117439,793809972,511692533
390,1964,LKA,350565863,375253819,24687956
391,1964,MAC,149057,365559,216502
392,1964,MAR,458483504,497773964,39290460
393,1964,MDG,118022805,106097368,-11925437
394,1964,MDV,782161,0,-782161
395,1964,MEX,1580109566,1090351427,-489758139
396,1964,MLI,25017168,10397241,-14619927
397,1964,MLT,120018865,11766432,-108252433
398,1964,MMR,258958496,232640707,-26317789
399,1964,MNG,792855,4761144,3968289
400,1964,MOZ,128443544,113921720,-14521824
401,1964,MRT,15839357,56022526,40183169
402,1964,MUS,46822768,75697325,28874557
403,1964,MYS,1147439299,1277355440,129916141
404,1964,NCL,57241215,56147100,-1094115
405,1964,NER,41084745,31216529,-9868216
406,1964,NGA,629074545,622705985,-6368560
407,1964,NIC,112504848,117376739,4871891
408,1964,NLD,9234761179,6973402219,-2261358960
409,1964,NOR,1857805439,1284819275,-572986164
410,1964,NPL,30699394,8609215,-22090179
411,1964,NZL,893116998,1115298630,222181632
412,1964,OMN,46813210,123141366,76328156
413,1964,PAK,955060154,490194867,-464865287
414,1964,PAN,323756057,97259147,-226496910
415,1964,PER,541658652,775794335,234135683
416,1964,PHL,914546511,835660844,-78885667
417,1964,PNG,68145982,35680495,-32465487
418,1964,POL,728627309,695914607,-32712702
419,1964,PRK,20129326,21521999,1392673
420,1964,PRT,797361657,514293582,-283068075
421,1964,PRY,51548689,56896669,5347980
422,1964,PYF,22325828,5570174,-16755654
423,1964,QAT,45990132,155901147,109911015
424,1964,REU,65925817,37317484,-28608333
425,1964,ROU,313830778,261287382,-52543396
426,1964,RWA,1278753,100685,-1178068
427,1964,SAU,311298236,1014704195,703405959
428,1964,SDN,216694866,192817207,-23877659
429,1964,SEN,200064278,162557163,-37507115
430,1964,SGP,1007964782,217304010,-790660772
431,1964,SLE,87486590,50128867,-37357723
432,1964,SLV,191887709,169947744,-21939965
